grade,subject,topic,subtopic,prerequisites
5,Mathematics,2D Shapes & Properties,Symmetry in regular polygons,"Basic shape recognition, Understanding angles"
5,Mathematics,2D Shapes & Properties,Perpendicular and parallel lines,"Basic shape recognition, Understanding angles"
5,Mathematics,3D Shapes & Nets,Visualise 3D shapes from 2D drawings,"2D shape knowledge, Spatial awareness"
5,Mathematics,3D Shapes & Nets,Understand nets of cubes/cuboids,"2D shape knowledge, Spatial awareness"
5,Mathematics,3D Shapes & Nets,Properties of polyhedra,"2D shape knowledge, Spatial awareness"
5,Mathematics,Position & Movement,Read and plot coordinates (first quadrant),"Understanding 2D grid, Basic shapes"
5,Mathematics,Position & Movement,Reflection of shapes,"Understanding 2D grid, Basic shapes"
5,Mathematics,Position & Movement,Translation of shapes,"Understanding 2D grid, Basic shapes"
5,Mathematics,Position & Movement,Rotation concept,"Understanding 2D grid, Basic shapes"
5,Mathematics,Angles,Understand angle measurement in degrees,"Geometry basics, Understanding rotation"
5,Mathematics,Angles,Calculate angles in straight lines,"Geometry basics, Understanding rotation"
5,Mathematics,Angles,Angles in triangles and quadrilaterals,"Geometry basics, Understanding rotation"
5,Mathematics,"Length, Mass & Capacity",Read and use standard units,"Counting, Understanding comparisons"
5,Mathematics,"Length, Mass & Capacity",Convert metric units,"Counting, Understanding comparisons"
5,Mathematics,"Length, Mass & Capacity",Order measurements in mixed units,"Counting, Understanding comparisons"
5,Mathematics,"Length, Mass & Capacity",Measure to nearest cm/mm,"Counting, Understanding comparisons"
5,Mathematics,Time & Temperature,Tell time using 24-hour clock,"Number ordering, Basic calculation"
5,Mathematics,Time & Temperature,Read timetables,"Number ordering, Basic calculation"
5,Mathematics,Time & Temperature,Calculate time intervals,"Number ordering, Basic calculation"
5,Mathematics,Time & Temperature,Read and compare temperatures,"Number ordering, Basic calculation"
5,Mathematics,Perimeter & Area,Measure perimeter of shapes,"Length measurement, Multiplication"
5,Mathematics,Perimeter & Area,Understand area concept,"Length measurement, Multiplication"
5,Mathematics,Perimeter & Area,Calculate area of rectangles,"Length measurement, Multiplication"
5,Mathematics,Perimeter & Area,Area in square centimetres,"Length measurement, Multiplication"
5,Mathematics,Data Collection & Representation,Collect relevant data,"Counting, Ordering numbers"
5,Mathematics,Data Collection & Representation,Draw frequency tables,"Counting, Ordering numbers"
5,Mathematics,Data Collection & Representation,Create pictograms and bar charts,"Counting, Ordering numbers"
5,Mathematics,Data Collection & Representation,Construct line graphs,"Counting, Ordering numbers"
5,Mathematics,Data Interpretation,Read and interpret charts,"Data representation, Comparison skills"
5,Mathematics,Data Interpretation,Find mode of data set,"Data representation, Comparison skills"
5,Mathematics,Data Interpretation,Make simple predictions from data,"Data representation, Comparison skills"
5,Mathematics,Probability,Language of chance and likelihood,Basic counting
5,Mathematics,Probability,Simple probability observations,Basic counting
5,Science,Planning & Investigation,Ask scientific questions,"Observation skills, Critical thinking"
5,Science,Planning & Investigation,Make predictions,"Observation skills, Critical thinking"
5,Science,Planning & Investigation,Plan fair tests,"Observation skills, Critical thinking"
5,Science,Planning & Investigation,Identify variables,"Observation skills, Critical thinking"
5,Science,Evidence & Analysis,Collect data systematically,"Planning skills, Measurement basics"
5,Science,Evidence & Analysis,Record observations,"Planning skills, Measurement basics"
5,Science,Evidence & Analysis,Present findings,"Planning skills, Measurement basics"
5,Science,Evidence & Analysis,Draw conclusions from evidence,"Planning skills, Measurement basics"
5,Science,Living Things & Environment,Classify living things,"Observation skills, Classification basics"
5,Science,Living Things & Environment,Understand habitats,"Observation skills, Classification basics"
5,Science,Living Things & Environment,Food chains and webs,"Observation skills, Classification basics"
5,Science,Living Things & Environment,Adaptation to environment,"Observation skills, Classification basics"
5,Science,Human & Animals,Basic human body systems,Living things knowledge
5,Science,Human & Animals,Animal classification,Living things knowledge
5,Science,Human & Animals,Life processes,Living things knowledge
5,Science,Plants,Plant structure and function,Living things knowledge
5,Science,Plants,Plant growth requirements,Living things knowledge
5,Science,Plants,Photosynthesis introduction,Living things knowledge
5,Science,Material Properties,"Properties of materials (texture, hardness, flexibility)",Observation skills
5,Science,Material Properties,Classify materials,Observation skills
5,Science,Material Properties,Useful materials in everyday life,Observation skills
5,Science,States of Matter,"Solids, liquids, gases",Material properties
5,Science,States of Matter,Changes of state,Material properties
5,Science,States of Matter,Melting and freezing points,Material properties
5,Science,Forces & Motion,"Types of forces (push, pull)","Observation, Measurement basics"
5,Science,Forces & Motion,Effect of forces on objects,"Observation, Measurement basics"
5,Science,Forces & Motion,Speed and distance,"Observation, Measurement basics"
5,Science,Forces & Motion,Simple machines,"Observation, Measurement basics"
5,Science,Light & Sound,Light sources,Observation skills
5,Science,Light & Sound,Shadows and reflection,Observation skills
5,Science,Light & Sound,Sound and vibration,Observation skills
5,Science,Light & Sound,Speed of sound basics,Observation skills
5,Science,Electricity & Magnetism,Simple circuits,Safety awareness
5,Science,Electricity & Magnetism,Conductors and insulators,Safety awareness
5,Science,Electricity & Magnetism,Magnetism and magnets,Safety awareness
5,English,Comprehension,Identify main ideas,Basic reading fluency
5,English,Comprehension,Recall explicit details,Basic reading fluency
5,English,Comprehension,Make simple inferences,Basic reading fluency
5,English,Comprehension,Understand character feelings,Basic reading fluency
5,English,Vocabulary & Language,Use context clues for meaning,Basic reading
5,English,Vocabulary & Language,Understand new vocabulary,Basic reading
5,English,Vocabulary & Language,Recognize word patterns,Basic reading
5,English,Text Types,Read fiction and non-fiction,Reading comprehension
5,English,Text Types,Identify different genres,Reading comprehension
5,English,Text Types,Understand text structure,Reading comprehension
5,English,Sentence Writing,Write simple sentences,"Letter formation, Basic spelling"
5,English,Sentence Writing,Use correct punctuation,"Letter formation, Basic spelling"
5,English,Sentence Writing,Vary sentence starters,"Letter formation, Basic spelling"
5,English,Sentence Writing,"Use conjunctions (and, but, or)","Letter formation, Basic spelling"
5,English,Story Writing,"Plan stories with beginning, middle, end",Sentence writing
5,English,Story Writing,Develop characters,Sentence writing
5,English,Story Writing,Use descriptive language,Sentence writing
5,English,Story Writing,Appropriate tense usage,Sentence writing
5,English,Non-Fiction Writing,Write explanations,Sentence writing
5,English,Non-Fiction Writing,Write instructions,Sentence writing
5,English,Non-Fiction Writing,Write information texts,Sentence writing
5,English,Non-Fiction Writing,Organize paragraphs,Sentence writing
5,English,Communication,Speak clearly and confidently,Basic communication skills
5,English,Communication,Listen actively,Basic communication skills
5,English,Communication,Follow instructions,Basic communication skills
5,English,Communication,Participate in discussions,Basic communication skills
5,English,Presentation,Tell stories orally,Speaking skills
5,English,Presentation,Share experiences,Speaking skills
5,English,Presentation,Answer questions,Speaking skills
5,English,Presentation,Work in groups,Speaking skills
5,Humanities,Maps & Location,Read and interpret maps,Spatial awareness
5,Humanities,Maps & Location,Understand compass directions,Spatial awareness
5,Humanities,Maps & Location,Use map symbols,Spatial awareness
5,Humanities,Maps & Location,Locate countries and continents,Spatial awareness
5,Humanities,Weather & Climate,Record weather data,"Observation, Measurement basics"
5,Humanities,Weather & Climate,Understand weather patterns,"Observation, Measurement basics"
5,Humanities,Weather & Climate,Temperature changes,"Observation, Measurement basics"
5,Humanities,Weather & Climate,Rainfall and seasons,"Observation, Measurement basics"
5,Humanities,Landscapes & Features,"Identify landforms (mountains, valleys, rivers)",Map skills
5,Humanities,Landscapes & Features,Erosion and weathering basics,Map skills
5,Humanities,Landscapes & Features,Land use patterns,Map skills
5,Humanities,Chronology & Timeline,"Understand past, present, future","Number ordering, Calendar knowledge"
5,Humanities,Chronology & Timeline,Order events chronologically,"Number ordering, Calendar knowledge"
5,Humanities,Chronology & Timeline,Use timelines,"Number ordering, Calendar knowledge"
5,Humanities,Chronology & Timeline,Understand decades and centuries,"Number ordering, Calendar knowledge"
5,Humanities,Historical Events & People,Learn about historical figures,Timeline understanding
5,Humanities,Historical Events & People,Understand significant events,Timeline understanding
5,Humanities,Historical Events & People,Local history exploration,Timeline understanding
5,Humanities,Cultures & Communities,Understand different cultures,Basic awareness
5,Humanities,Cultures & Communities,Explore traditions and customs,Basic awareness
5,Humanities,Cultures & Communities,Respect for diversity,Basic awareness
5,Humanities,Environment & Sustainability,Environmental care basics,Observation skills
5,Humanities,Environment & Sustainability,Recycling and conservation,Observation skills
5,Humanities,Environment & Sustainability,Local environmental issues,Observation skills
11,Mathematics (AS Level),Advanced Algebra,Advanced functions and equations,IGCSE mathematics
11,Mathematics (AS Level),Advanced Algebra,Logarithms and exponentials,IGCSE mathematics
11,Mathematics (AS Level),Advanced Algebra,Rational functions,IGCSE mathematics
11,Mathematics (AS Level),Calculus Basics,Differentiation and integration basics,IGCSE algebra
11,Mathematics (AS Level),Calculus Basics,Rates of change,IGCSE algebra
11,Mathematics (AS Level),Calculus Basics,Optimization problems,IGCSE algebra
11,Mathematics (AS Level),Trigonometry,Trigonometric functions and identities,IGCSE trigonometry
11,Mathematics (AS Level),Trigonometry,Trigonometric equations,IGCSE trigonometry
11,Mathematics (AS Level),Trigonometry,Small angle approximations,IGCSE trigonometry
11,Mathematics (AS Level),Statistics,Probability distributions,IGCSE statistics
11,Mathematics (AS Level),Statistics,Hypothesis testing,IGCSE statistics
11,Mathematics (AS Level),Statistics,"Collect, interpret, present data",IGCSE statistics
11,Mathematics (AS Level),Mechanics,Kinematics and dynamics,IGCSE physics
11,Mathematics (AS Level),Mechanics,Forces and energy,IGCSE physics
11,Mathematics (AS Level),Mechanics,Mathematical modelling of motion,IGCSE physics
11,Science (AS Level),Biochemistry,Biochemistry and metabolism,IGCSE biology
11,Science (AS Level),Biochemistry,Enzyme kinetics,IGCSE biology
11,Science (AS Level),Biochemistry,Photosynthesis and cellular respiration,IGCSE biology
11,Science (AS Level),Genetics & Physiology,"DNA, genes, protein synthesis",IGCSE genetics
11,Science (AS Level),Genetics & Physiology,Plant and animal physiology,IGCSE genetics
11,Science (AS Level),Genetics & Physiology,Ecology and conservation,IGCSE genetics
11,Science (AS Level),Atomic Structure,Atomic structure and bonding,IGCSE chemistry
11,Science (AS Level),Atomic Structure,Periodicity and chemical properties,IGCSE chemistry
11,Science (AS Level),Atomic Structure,Ionic and covalent bonding,IGCSE chemistry
11,Science (AS Level),Energetics & Kinetics,Energetics and kinetics,IGCSE chemical equations
11,Science (AS Level),Energetics & Kinetics,"Acids, bases, and equilibrium",IGCSE chemical equations
11,Science (AS Level),Energetics & Kinetics,Organic chemistry basics,IGCSE chemical equations
11,Science (AS Level),Mechanics,Mechanics: motion and forces,IGCSE forces
11,Science (AS Level),Mechanics,"Work, energy, and power",IGCSE forces
11,Science (AS Level),Mechanics,Momentum and collisions,IGCSE forces
11,Science (AS Level),Waves & Fields,Waves and oscillations,IGCSE waves
11,Science (AS Level),Waves & Fields,Electricity and magnetism,IGCSE waves
11,Science (AS Level),Waves & Fields,Thermal physics,IGCSE waves
11,English (AS Level),Textual Analysis,"Analyse texts for meaning, style, context",IGCSE literature
11,English (AS Level),Textual Analysis,"Compare literary forms (prose, poetry, drama)",IGCSE literature
11,English (AS Level),Textual Analysis,Evaluate argument and rhetoric,IGCSE literature
11,English (AS Level),Textual Analysis,Thematic connections,IGCSE literature
11,English (AS Level),Composition,Write critical and comparative essays,IGCSE writing
11,English (AS Level),Composition,Research and document findings,IGCSE writing
11,English (AS Level),Composition,Develop effective writing style,IGCSE writing
11,English (AS Level),Composition,Academic writing skills,IGCSE writing
11,English (AS Level),Communication,Thesis presentation,IGCSE oral communication
11,English (AS Level),Communication,Panel and group discussion,IGCSE oral communication
11,English (AS Level),Communication,Speech delivery and persuasion,IGCSE oral communication
11,English (AS Level),Communication,Defend academic positions,IGCSE oral communication
11,Humanities (AS Level),Historical Studies,In-depth study of historical periods,IGCSE history
11,Humanities (AS Level),Historical Studies,"Thematic studies (war, society, technology)",IGCSE history
11,Humanities (AS Level),Historical Studies,Historiography and methodology,IGCSE history
11,Humanities (AS Level),Historical Studies,Analysis of historical evidence,IGCSE history
11,Humanities (AS Level),Advanced Geography,"Physical geography: climate change, tectonics",IGCSE geography
11,Humanities (AS Level),Advanced Geography,"Human geography: globalisation, development",IGCSE geography
11,Humanities (AS Level),Advanced Geography,Fieldwork and research methods,IGCSE geography
11,Humanities (AS Level),Critical Analysis,Stakeholder analysis and evaluation,IGCSE global perspectives
11,Humanities (AS Level),Critical Analysis,International research projects,IGCSE global perspectives
11,Humanities (AS Level),Critical Analysis,Critical thinking and systems analysis,IGCSE global perspectives
11,Humanities (AS Level),Critical Analysis,Global problem-solving,IGCSE global perspectives
12,Mathematics (A Level),Advanced Calculus,Advanced functions and calculus,AS Pure Mathematics
12,Mathematics (A Level),Advanced Calculus,Differential equations,AS Pure Mathematics
12,Mathematics (A Level),Advanced Calculus,Limits and continuity,AS Pure Mathematics
12,Mathematics (A Level),Advanced Calculus,Optimization and applications,AS Pure Mathematics
12,Mathematics (A Level),Complex Numbers,Complex numbers and algebra,AS Pure Mathematics
12,Mathematics (A Level),Complex Numbers,Complex number properties,AS Pure Mathematics
12,Mathematics (A Level),Complex Numbers,De Moivre's theorem,AS Pure Mathematics
12,Mathematics (A Level),Vectors & Matrices,Further vectors and matrices,AS Mechanics
12,Mathematics (A Level),Vectors & Matrices,Matrix operations and properties,AS Mechanics
12,Mathematics (A Level),Vectors & Matrices,Geometric applications,AS Mechanics
12,Mathematics (A Level),Statistics Advanced,Probability distributions and sampling,AS Statistics
12,Mathematics (A Level),Statistics Advanced,Advanced hypothesis testing,AS Statistics
12,Mathematics (A Level),Statistics Advanced,Interpreting statistical findings,AS Statistics
12,Mathematics (A Level),Statistics Advanced,Regression analysis,AS Statistics
12,Mathematics (A Level),Mechanics Advanced,Advanced kinematics and dynamics,AS Mechanics
12,Mathematics (A Level),Mechanics Advanced,"Energy, work and power advanced",AS Mechanics
12,Mathematics (A Level),Mechanics Advanced,Mechanical systems analysis,AS Mechanics
12,Mathematics (A Level),Mechanics Advanced,Circular motion,AS Mechanics
12,Science (A Level),Genomics,Genomics and biotechnology,AS Biology
12,Science (A Level),Genomics,Gene expression and regulation,AS Biology
12,Science (A Level),Genomics,Genetic engineering,AS Biology
12,Science (A Level),Genomics,Synthetic biology basics,AS Biology
12,Science (A Level),Physiology & Ecology,Physiology and health science,AS Biology
12,Science (A Level),Physiology & Ecology,Ecosystem analysis and management,AS Biology
12,Science (A Level),Physiology & Ecology,Research in life sciences,AS Biology
12,Science (A Level),Physiology & Ecology,Contemporary issues,AS Biology
12,Science (A Level),Organic Chemistry,Advanced organic chemistry,AS Chemistry
12,Science (A Level),Organic Chemistry,Synthesis and mechanisms,AS Chemistry
12,Science (A Level),Organic Chemistry,Polymers and materials,AS Chemistry
12,Science (A Level),Organic Chemistry,Pharmaceutical chemistry,AS Chemistry
12,Science (A Level),Analysis & Research,Spectroscopy and analysis,AS Chemistry
12,Science (A Level),Analysis & Research,Chemical research and applications,AS Chemistry
12,Science (A Level),Analysis & Research,Laboratory skills,AS Chemistry
12,Science (A Level),Analysis & Research,Data analysis,AS Chemistry
12,Science (A Level),Quantum Physics,Advanced quantum physics,AS Waves & Fields
12,Science (A Level),Quantum Physics,Quantum tunnelling and entanglement,AS Waves & Fields
12,Science (A Level),Quantum Physics,Photons and energy levels,AS Waves & Fields
12,Science (A Level),Quantum Physics,Wave-particle duality,AS Waves & Fields
12,Science (A Level),Advanced Topics,Electromagnetic theory,AS Physics
12,Science (A Level),Advanced Topics,Nuclear and particle physics,AS Physics
12,Science (A Level),Advanced Topics,Medical physics applications,AS Physics
12,Science (A Level),Advanced Topics,Scientific reporting and investigation,AS Physics
12,English (A Level),Advanced Literary Analysis,Advanced literary analysis,AS Literature
12,English (A Level),Advanced Literary Analysis,Comparative study of multiple texts,AS Literature
12,English (A Level),Advanced Literary Analysis,"Argument, viewpoint, and critical synthesis",AS Literature
12,English (A Level),Advanced Literary Analysis,Interpretive frameworks,AS Literature
12,English (A Level),Research & Writing,Extended analytical essays,AS Composition
12,English (A Level),Research & Writing,Research and documentation,AS Composition
12,English (A Level),Research & Writing,Professional writing for college/careers,AS Composition
12,English (A Level),Research & Writing,Critical essay development,AS Composition
12,English (A Level),Advanced Communication,Defend scholarship orally,AS Speaking
12,English (A Level),Advanced Communication,Seminar leadership and facilitation,AS Speaking
12,English (A Level),Advanced Communication,Advanced media analysis,AS Speaking
12,English (A Level),Advanced Communication,Rhetorical analysis and critique,AS Speaking
12,Humanities (A Level),Comparative Historical Studies,Comparative historical studies across regions,AS History
12,Humanities (A Level),Comparative Historical Studies,Theories and approaches to history,AS History
12,Humanities (A Level),Comparative Historical Studies,Historiographical debate,AS History
12,Humanities (A Level),Comparative Historical Studies,Explore modern and ancient cultures,AS History
12,Humanities (A Level),Field Research & Analysis,Field research and data collection,AS Geography
12,Humanities (A Level),Field Research & Analysis,"Political, urban, and environmental geography",AS Geography
12,Humanities (A Level),Field Research & Analysis,Geographical methodology,AS Geography
12,Humanities (A Level),Field Research & Analysis,Contemporary geographical issues,AS Geography
12,Humanities (A Level),Capstone & Integration,Capstone research project,AS Global Perspectives
12,Humanities (A Level),Capstone & Integration,International debate and presentation,AS Global Perspectives
12,Humanities (A Level),Capstone & Integration,Apply theory to global challenges,AS Global Perspectives
12,Humanities (A Level),Capstone & Integration,Interdisciplinary synthesis,AS Global Perspectives
